SERBIAN,ENGLISH,NOTE
pomažemo,we help,Present tense 1st person plural
da,that/to,Conjunction/preposition
imaju,have,Present tense 3rd person plural
i,and,Conjunction
oni,those/they,Personal pronoun 3rd person plural
koji,that/who/which,Relative pronoun masculine singular
nemaju,don't have,Present tense negative 3rd person plural
na kraju,at the end,Prepositional phrase
svakog,of each,Genitive case masculine singular
dana,day,Genitive case masculine singular
deo,part,Nominative case masculine singular
svežeg,fresh,Genitive case masculine singular adjective
voća,fruit,Genitive case neuter singular
povrća,vegetables,Genitive case neuter singular
koje,which/that,Relative pronoun neuter singular
se,(reflexive particle),Reflexive pronoun
ne,not,Negation particle
proda,sold,Present tense 3rd person singular
doniramo,we donate,Present tense 1st person plural
banci,to the bank,Dative case feminine singular
hrane,of food,Genitive case feminine singular
poštovani,dear customer,Vocative case masculine singular (formal)
šaljemo,we are sending,Present tense 1st person plural
vam,you (formal),Dative case personal pronoun (formal)
lični,personal,Nominative case masculine singular adjective
identifikacioni,identification,Nominative case masculine singular adjective
broj,number,Nominative case masculine singular
za,for,Preposition
upotrebu,use,Accusative case feminine singular
sertifikata,of the certificate,Genitive case masculine singular
zaštitu,protection/security,Accusative case feminine singular
na,on,Preposition
elektronskoj,electronic,Locative case feminine singular adjective
poslovnoj,business,Locative case feminine singular adjective
kartici,card,Locative case feminine singular
pin,pin,Nominative case masculine singular (foreign word)
puk,puk,Nominative case masculine singular
ovaj,this,Demonstrative pronoun masculine singular
dokument,document,Nominative case masculine singular
je,is,Present tense 3rd person singular of 'biti' (to be)
jedini,the only,Nominative case masculine singular adjective
sadrži,contains,Present tense 3rd person singular
ove,these,Accusative case plural demonstrative pronoun
brojeve,numbers,Accusative case masculine plural
čuvajte,keep,Imperative 2nd person plural
ga,it,Accusative case personal pronoun masculine singular
na sigurnom mestu,in a safe place,Prepositional phrase in locative case
lični broj,personal number,Nominative case phrase
ne sme,must not,Present tense negative 3rd person singular modal
da bude,be,Present subjunctive of 'biti' (to be)
davan,given,Passive participle masculine singular
drugim,to other,Dative case plural adjective
licima,persons/people,Dative case neuter plural
molimo vas,please (formal),Polite phrase with accusative pronoun
u skladu sa,in accordance with,Prepositional phrase
opštim uslovima,general conditions,Instrumental case masculine plural phrase
koji je izdao,issued by,Relative clause in past tense
nakon prve prijave,after the first login,Prepositional phrase in genitive case
promenite,change,Imperative 2nd person plural
možete,you may,Present tense 2nd person plural modal
koristiti,use,Infinitive
koje ćete lako zapamtiti,that are easy to remember,Relative clause with future tense
ali,but,Conjunction
nisu,are not,Present tense negative 3rd person plural of 'biti'
jednostavni,simple,Nominative case masculine plural adjective
ne sadrže,do not contain,Present tense negative 3rd person plural
serijske znakove,sequential characters,Accusative case masculine plural phrase
želimo vas upozoriti,we warn you,Present tense 1st person plural with infinitive
da se,that if,Conjunction with reflexive particle
tri uzastopna puta,three consecutive times,Accusative case phrase
nakon,after,Preposition
pogrešnog unošenja,incorrect entry,Genitive case neuter singular phrase
zaključava,is locked,Present tense 3rd person singular
u tom slučaju,in such a case,Prepositional phrase in locative case
koristite,use,Present tense 2nd person plural
tri puta zaredom,three times in a row,Adverbial phrase
čime se,after which,Instrumental relative pronoun with reflexive
trajno,permanently,Adverb
uništava,destroyed,Present tense 3rd person singular
sportska oprema,sports equipment,Nominative case feminine singular phrase
do,up to,Preposition
mesečnih,monthly,Genitive case plural adjective
rata,installments,Genitive case feminine plural
sve,all,Accusative case plural pronoun
zaposlene,employees,Accusative case plural noun
uz,with,Preposition
zdravstvenu,health-related,Accusative case feminine singular adjective
knjižicu,booklet,Accusative case feminine singular
i.k.,id card,Abbreviation
penzionere,pensioners,Accusative case masculine plural
poslednji,last,Nominative case masculine singular adjective
ček,check/payment slip,Nominative case masculine singular
penzije,pension,Genitive case feminine singular
testisi,testes,Nominative case masculine plural (medical term)
muške,male,Genitive case feminine singular adjective
polne,sexual,Genitive case feminine singular adjective
žlezde,glands,Nominative case feminine plural
proizvode,produce,Present tense 3rd person plural
spermatozoide,spermatozoa,Accusative case masculine plural
hormon,hormone,Nominative case masculine singular
dijagnozom,diagnosis,Instrumental case feminine singular
bolest,disease,Nominative case feminine singular
izlečenje,cure/recovery,Nominative case neuter singular
karcinom,carcinoma/cancer,Nominative case masculine singular
onkologiji,oncology,Locative case feminine singular
malign,malignant,Nominative case masculine singular adjective
tumori,tumors,Nominative case masculine plural
reproduktivno,reproductive,Nominative case neuter singular adjective
uzrastu,age group,Locative case masculine singular
pogođaju,affect,Present tense 3rd person plural
populacija,population,Nominative case feminine singular
samopregled,self-examination,Nominative case masculine singular
otkrio,discovered,Past tense masculine singular
krvne,blood (adj.),Nominative case plural adjective
sudovi,vessels,Nominative case masculine plural
strukture,structures,Nominative case feminine plural
omogućava,enables,Present tense 3rd person singular
anatomija,anatomy,Nominative case feminine singular
odstupanje,deviation,Nominative case neuter singular
kontaktiraj,contact,Imperative 2nd person singular
pedijatar,pediatrician,Nominative case masculine singular
vršiti,perform,Infinitive
tuširanje,showering,Nominative case neuter singular verbal noun
koža,skin,Nominative case feminine singular
topla,warm,Nominative case feminine singular adjective
relaksirana,relaxed,Nominative case feminine singular adjective
najbolji,best,Nominative case masculine singular adjective superlative
stojeći,standing,Present participle
nežno,gently,Adverb
palpirati,palpate,Infinitive (medical term)
skrotalnu,scrotal,Accusative case feminine singular adjective
vreću,sac,Accusative case feminine singular
identifikacija,identification,Nominative case feminine singular
prstiju,fingers,Genitive case masculine plural
površinu,surface,Accusative case feminine singular
procedura,procedure,Nominative case feminine singular
tvrd,firm/hard,Nominative case masculine singular adjective
niže,lower,Comparative adverb
odnosu,relation,Locative case masculine singular
uvećan,enlarged,Nominative case masculine singular adjective
poseti,visit,Imperative 2nd person singular
što pre,as soon as possible,Adverbial phrase
želim,i want,Present tense 1st person singular
saznam,to find out,Present tense 1st person singular
više,more,Comparative adverb
kome,whom,Dative case masculine singular relative pronoun
mogu,can,Present tense 1st person singular modal
obratiti,contact,Infinitive
savetovalište,counseling center,Nominative case neuter singular
mlade,young people,Accusative case plural adjective used as noun
nalazi,is located,Present tense 3rd person singular
objekat,facility,Nominative case masculine singular
ulica,street,Nominative case feminine singular
vrata,doors,Nominative case neuter plural
otvorena,open,Nominative case neuter plural adjective
radni,working,Nominative case masculine singular adjective
dan,day,Nominative case masculine singular
možeš,you can,Present tense 2nd person singular modal
dobiti,reach/contact,Infinitive
telefon,phone,Nominative case masculine singular
sajt,website,Nominative case masculine singular (anglicism)
pročitati,read,Infinitive
pisati,write,Infinitive
adresa,address,Nominative case feminine singular
potražiti,look for,Infinitive
fejsbuk,facebook,Nominative case masculine singular (anglicism)
instagram,instagram,Nominative case masculine singular (anglicism)
dom zdravlja,health center,Nominative case phrase
višestruki,multiple,Nominative case masculine singular adjective
osvajač,winner,Nominative case masculine singular
najprestižnije,most prestigious,Genitive case feminine singular adjective superlative
biciklističke,cycling,Genitive case feminine singular adjective
trke,races,Genitive case feminine singular
prvenstvo,championship,Nominative case neuter singular
imao,had,Past tense masculine singular
operisan,operated on,Passive participle masculine singular
svestan,aware,Nominative case masculine singular adjective
čudo,miracle,Nominative case neuter singular
preživeo,survived,Past tense masculine singular
angažovan,engaged,Passive participle masculine singular
podizanje,raising,Nominative case neuter singular verbal noun
javne svesti,public awareness,Genitive case feminine singular phrase
koliko,how much,Interrogative adverb
važan,important,Nominative case masculine singular adjective
rana,early,Nominative case feminine singular adjective
